n,k,algorithm,avg_comparisons,avg_swaps
16800,1,randomized,34652.4,17882.16
16800,1,deterministic,133076.98,76536.92
16900,1,randomized,34728.64,17858.38
16900,1,deterministic,133626.72,76837.02
17000,1,randomized,36687.34,19718.78
17000,1,deterministic,134440.04,77263.16
17100,1,randomized,32771.74,15700.36
17100,1,deterministic,135750.28,78000.98
17200,1,randomized,34402.18,17232.42
17200,1,deterministic,135513.22,77926.64
17300,1,randomized,38632.44,21364.86
17300,1,deterministic,136533.94,78549.2
17400,1,randomized,32762.68,15392.3
17400,1,deterministic,138103.4,79446.94
17500,1,randomized,36640.7,19171.84
17500,1,deterministic,138847.54,79869.18
17600,1,randomized,34457.54,16884.6
17600,1,deterministic,140204.74,80676.92
17700,1,randomized,39107.9,21441.12
17700,1,deterministic,139896.6,80557.24
17800,1,randomized,35931.38,18161.18
17800,1,deterministic,141462.32,81384.86
17900,1,randomized,37124.08,19255.16
17900,1,deterministic,142302.26,81889.04
18000,1,randomized,35252.98,17281.94
18000,1,deterministic,143151.22,82340.12
18100,1,randomized,35411.54,17341.48
18100,1,deterministic,143687.48,82608.38
18200,1,randomized,34673.16,16502.06
18200,1,deterministic,144850.0,83288.72
18300,1,randomized,33517.66,15246.72
18300,1,deterministic,145421.9,83612.48
18400,1,randomized,34709.22,16339.16
18400,1,deterministic,146227.42,84155.42
18500,1,randomized,38534.4,20064.7
18500,1,deterministic,147123.62,84630.9
18600,1,randomized,36389.8,17820.68
18600,1,deterministic,147752.56,84926.2
18700,1,randomized,35396.04,16723.84
18700,1,deterministic,148438.28,85352.46
18800,1,randomized,38651.22,19882.64
18800,1,deterministic,149146.22,85715.72
18900,1,randomized,38777.54,19909.3
18900,1,deterministic,149874.0,86194.12
19000,1,randomized,37273.28,18304.06
19000,1,deterministic,151380.46,87108.08
19100,1,randomized,36934.8,17864.36
19100,1,deterministic,151391.92,87085.46
19200,1,randomized,42197.38,23027.62
19200,1,deterministic,151950.7,87364.16
19300,1,randomized,41976.62,22705.48
19300,1,deterministic,153783.08,88463.16
19400,1,randomized,38258.28,18887.74
19400,1,deterministic,153514.9,88284.98
19500,1,randomized,39673.94,20204.88
19500,1,deterministic,154628.84,88919.6
19600,1,randomized,36828.8,17259.06
19600,1,deterministic,155212.84,89216.62
19700,1,randomized,39935.58,20265.66
19700,1,deterministic,156508.08,90010.92
19800,1,randomized,39129.74,19359.14
19800,1,deterministic,157279.14,90420.82
19900,1,randomized,39647.1,19776.54
19900,1,deterministic,157911.56,90756.04
20000,1,randomized,40073.1,20103.08
20000,1,deterministic,158920.56,91244.18
20100,1,randomized,43136.64,23069.08
20100,1,deterministic,159977.22,91996.06
20200,1,randomized,38745.28,18575.38
20200,1,deterministic,160255.84,92140.8
20300,1,randomized,41767.54,21498.76
20300,1,deterministic,161739.8,92959.52
20400,1,randomized,40424.96,20055.34
20400,1,deterministic,162172.84,93247.54
20500,1,randomized,43265.2,22796.14
20500,1,deterministic,163116.34,93746.9
20600,1,randomized,44234.76,23665.94
20600,1,deterministic,163306.8,93862.7
20700,1,randomized,39412.66,18742.56
20700,1,deterministic,164671.58,94628.4
20800,1,randomized,43885.74,23118.16
20800,1,deterministic,165490.68,95223.36
20900,1,randomized,43212.14,22343.86
20900,1,deterministic,165665.92,95163.8
21000,1,randomized,46581.84,25612.48
21000,1,deterministic,166625.24,95786.82
21100,1,randomized,43601.1,22532.96
21100,1,deterministic,167989.4,96584.02
21200,1,randomized,41775.62,20606.12
21200,1,deterministic,168430.14,96772.96
21300,1,randomized,40553.14,19281.34
21300,1,deterministic,169620.32,97521.8
21400,1,randomized,41391.94,20020.52
21400,1,deterministic,171115.94,98317.82
21500,1,randomized,43487.24,22018.98
21500,1,deterministic,170511.32,97940.64
21600,1,randomized,45389.86,23820.18
21600,1,deterministic,172559.08,99155.52
21700,1,randomized,43422.32,21754.38
21700,1,deterministic,172270.24,98974.52
21800,1,randomized,41476.34,19705.18
21800,1,deterministic,173163.22,99538.4
21900,1,randomized,45129.86,23260.7
21900,1,deterministic,174991.38,100604.8
22000,1,randomized,42821.86,20852.18
22000,1,deterministic,175316.84,100748.2
22100,1,randomized,44719.98,22651.16
22100,1,deterministic,176178.76,101347.32
22200,1,randomized,45393.36,23225.0
22200,1,deterministic,176294.16,101348.96
22300,1,randomized,41907.06,19637.48
22300,1,deterministic,177347.18,101951.24
22400,1,randomized,46060.82,23690.48
22400,1,deterministic,177812.32,102225.02
22500,1,randomized,38430.8,15960.36
22500,1,deterministic,179107.56,102939.98
22600,1,randomized,48821.44,26253.14
22600,1,deterministic,180012.26,103442.18
22700,1,randomized,41677.2,19006.9
22700,1,deterministic,180224.94,103586.86
22800,1,randomized,43850.46,21081.16
22800,1,deterministic,181977.4,104628.72
22900,1,randomized,42694.08,19825.38
22900,1,deterministic,182256.66,104759.1
23000,1,randomized,45144.7,22176.8
23000,1,deterministic,182842.22,105113.88
23100,1,randomized,44003.76,20932.5
23100,1,deterministic,184965.2,106309.28
23200,1,randomized,45463.24,22293.7
23200,1,deterministic,185222.86,106431.9
23300,1,randomized,41409.2,18139.1
23300,1,deterministic,185138.8,106497.94
23400,1,randomized,47523.56,24153.88
23400,1,deterministic,186276.1,107069.2
23500,1,randomized,47561.08,24092.2
23500,1,deterministic,187711.36,107856.94
23600,1,randomized,44267.68,20696.76
23600,1,deterministic,187925.26,108028.84
23700,1,randomized,47725.78,24058.02
23700,1,deterministic,189320.2,108824.78
23800,1,randomized,50290.4,26522.34
23800,1,deterministic,190170.7,109350.24
23900,1,randomized,44719.56,20851.48
23900,1,deterministic,190401.1,109497.76
24000,1,randomized,48858.96,24889.36
24000,1,deterministic,190935.46,109673.06
24100,1,randomized,44963.0,20893.02
24100,1,deterministic,191888.7,110267.02
24200,1,randomized,50813.24,26646.3
24200,1,deterministic,193112.96,110944.44
24300,1,randomized,48353.12,24083.18
24300,1,deterministic,193742.1,111384.82
24400,1,randomized,52249.18,27881.56
24400,1,deterministic,194452.32,111744.2
24500,1,randomized,47995.8,23527.44
24500,1,deterministic,195668.0,112458.4
24600,1,randomized,53329.02,28763.78
24600,1,deterministic,196078.72,112670.78
24700,1,randomized,52359.0,27689.94
24700,1,deterministic,197569.12,113542.7
24800,1,randomized,45264.5,20496.58
24800,1,deterministic,198264.36,113966.7
24900,1,randomized,45927.86,21058.86
24900,1,deterministic,199295.5,114610.62
25000,1,randomized,53670.34,28700.06
25000,1,deterministic,199456.22,114604.0
25100,1,randomized,49333.96,24265.34
25100,1,deterministic,200738.44,115397.6
25200,1,randomized,51042.0,25874.06
25200,1,deterministic,201117.34,115544.36
