n,group_size,k,avg_comparisons,avg_swaps,avg_time_sec
5000,5,15,38560.86666666667,22273.266666666666,0.013110335667928059
5000,5,20,38609.933333333334,22296.1,0.01306914488474528
5000,5,30,38426.7,22174.833333333332,0.011255915959676106
6000,5,15,46176.73333333333,26673.6,0.015623188018798828
6000,5,20,46456.1,26790.466666666667,0.016248456637064614
6000,5,30,46230.833333333336,26626.833333333332,0.014177672068277995
7000,5,15,54343.2,31380.366666666665,0.017212398846944175
7000,5,20,54482.63333333333,31435.533333333333,0.017406797409057616
7000,5,30,54779.86666666667,31593.9,0.017432689666748047
8000,5,15,62395.4,35991.7,0.019645094871520996
8000,5,20,62153.46666666667,35814.4,0.020536049207051595
8000,5,30,62373.73333333333,35952.8,0.02052475611368815
9000,5,15,70471.36666666667,40619.26666666667,0.023377037048339842
9000,5,20,70952.93333333333,40904.9,0.023330529530843098
9000,5,30,70665.33333333333,40728.3,0.023729753494262696
10000,5,15,78282.06666666667,45088.46666666667,0.026569787661234537
10000,5,20,78336.53333333334,45122.2,0.02613102595011393
10000,5,30,78574.43333333333,45289.333333333336,0.026907809575398765
11000,5,15,86045.3,49518.6,0.029102587699890138
11000,5,20,86495.23333333334,49812.8,0.029576595624287924
11000,5,30,86708.03333333334,50006.433333333334,0.028717629114786782
12000,5,15,94856.43333333333,54659.8,0.0317800760269165
12000,5,20,94666.23333333334,54512.23333333333,0.030865478515625
12000,5,30,94560.46666666666,54470.833333333336,0.031661462783813474
13000,5,15,102516.9,59047.96666666667,0.03285847504933675
13000,5,20,102810.33333333333,59148.63333333333,0.033011547724405926
13000,5,30,102541.76666666666,59044.4,0.03316497802734375
14000,5,15,110768.46666666666,63780.46666666667,0.03593712647755941
14000,5,20,109291.3,62866.8,0.036907895406087236
14000,5,30,110163.83333333333,63359.0,0.035448861122131345
15000,5,15,118871.1,68400.86666666667,0.039298025767008464
15000,5,20,118131.5,67991.26666666666,0.03880491256713867
15000,5,30,118344.76666666666,68079.26666666666,0.03852771917978923
16000,5,15,126763.63333333333,72871.06666666667,0.041889770825703936
16000,5,20,127004.1,72967.46666666666,0.04000900586446126
16000,5,30,127065.63333333333,73083.33333333333,0.040096195538838704
17000,5,15,135202.86666666667,77751.06666666667,0.04427553017934163
17000,5,20,133649.66666666666,76846.5,0.044258522987365725
17000,5,30,134745.0,77483.76666666666,0.043349075317382815
18000,5,15,142628.13333333333,82090.2,0.04703049659729004
18000,5,20,143394.6,82509.2,0.04680482546488444
18000,5,30,142660.13333333333,82127.93333333333,0.046322139104207356
19000,5,15,150811.6,86766.3,0.048165567715962726
19000,5,20,150997.3,86787.26666666666,0.05026071071624756
19000,5,30,150901.73333333334,86799.4,0.049439311027526855
20000,5,15,159310.73333333334,91591.76666666666,0.051655332247416176
20000,5,20,158931.66666666666,91329.43333333333,0.05249683062235514
20000,5,30,158260.5,90910.93333333333,0.051198291778564456
21000,5,15,166703.06666666668,95727.66666666667,0.052890745798746745
21000,5,20,166915.83333333334,96004.33333333333,0.05749252637227376
21000,5,30,167781.0,96447.96666666666,0.05526869297027588
22000,5,15,175149.43333333332,100673.8,0.05833872159322103
22000,5,20,175677.5,101050.56666666667,0.05741564432779948
22000,5,30,175640.53333333333,100964.2,0.05733943780263265
23000,5,15,183275.73333333334,105367.0,0.05923678080240886
23000,5,20,183465.0,105445.13333333333,0.06038146018981934
23000,5,30,184280.7,105882.46666666666,0.05776529312133789
24000,5,15,191317.26666666666,109969.6,0.06268211205800374
24000,5,20,191444.3,110018.33333333333,0.06197308699289958
24000,5,30,191415.06666666668,110079.46666666666,0.06362079779307048
25000,5,15,200099.73333333334,115009.8,0.06967633565266927
25000,5,20,200041.9,114852.16666666667,0.0636234442392985
25000,5,30,200164.86666666667,115046.5,0.06506712436676025
26000,5,15,207888.9,119596.93333333333,0.06784768104553222
26000,5,20,207378.9,119158.43333333333,0.06766645113627116
26000,5,30,207474.26666666666,119142.1,0.06980449358622233
27000,5,15,215404.96666666667,123724.06666666667,0.07060692310333253
27000,5,20,215324.73333333334,123729.23333333334,0.06856234073638916
27000,5,30,215542.73333333334,123854.4,0.07002151012420654
28000,5,15,224345.4,128946.4,0.07530490557352702
28000,5,20,224028.6,128712.03333333334,0.07503543694814047
28000,5,30,224197.33333333334,128700.7,0.07392386595408122
29000,5,15,231273.3,132859.23333333334,0.07601261933644612
29000,5,20,230581.76666666666,132467.63333333333,0.07566516399383545
29000,5,30,231923.5,133143.1,0.0776279369990031
30000,5,15,239643.73333333334,137643.03333333333,0.07956111431121826
30000,5,20,239328.9,137497.56666666668,0.07724035580952962
30000,5,30,239749.33333333334,137709.33333333334,0.07845863501230875
31000,5,15,247427.93333333332,142139.73333333334,0.0820733388264974
31000,5,20,247468.16666666666,142182.13333333333,0.08126266002655029
31000,5,30,248920.73333333334,142884.73333333334,0.0805128574371338
32000,5,15,257370.53333333333,147779.6,0.08413322766621907
32000,5,20,256459.7,147431.53333333333,0.0853118658065796
32000,5,30,256699.06666666668,147267.6,0.08414100805918376
33000,5,15,264461.6666666667,151841.56666666668,0.08587311108907064
33000,5,20,265737.0,152688.23333333334,0.08701205253601074
33000,5,30,264789.5,152170.3,0.08659673531850179
34000,5,15,274069.23333333334,157425.8,0.09158106644948323
34000,5,20,272597.06666666665,156566.1,0.08942635854085286
34000,5,30,270458.6,155282.03333333333,0.08943378925323486
35000,5,15,279736.93333333335,160737.8,0.09158555666605632
35000,5,20,281733.23333333334,161850.46666666667,0.09335385163625082
35000,5,30,280723.9,161260.23333333334,0.09278826713562012
36000,5,15,287163.86666666664,164951.63333333333,0.09405407110850016
36000,5,20,289570.1,166206.86666666667,0.09709695974985759
36000,5,30,289307.3333333333,166085.56666666668,0.09708151817321778
37000,5,15,296052.6666666667,170060.3,0.09707512855529785
37000,5,20,295417.73333333334,169703.13333333333,0.09621531963348388
